date,gregorianYear,buddhistEraYear,weekday,eventId,nameZh,nameThai,nameEn,category,thaiLunarText,thaiLunarMonth,thaiLunarDay,thaiLunarHalf,thaiLunarDayInHalf,note
2084-01-01,2084,2627,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 1,1,23,waning,8,
2084-01-07,2084,2627,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 1,1,29,waning,14,
2084-01-15,2084,2627,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 2,2,8,waxing,8,
2084-01-22,2084,2627,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 2,2,15,waxing,15,
2084-01-30,2084,2627,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 2,2,23,waning,8,
2084-02-06,2084,2627,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 2,2,30,waning,15,
2084-02-14,2084,2627,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 3,3,8,waxing,8,
2084-02-21,2084,2627,星期一,makha_bucha,萬佛節,มาฆบูชา,Makha Bucha,thai-buddhist-major,ขึ้น 15 ค่ำ เดือน 3,3,15,waxing,15,
2084-02-21,2084,2627,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 3,3,15,waxing,15,
2084-02-29,2084,2627,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 3,3,23,waning,8,
2084-03-06,2084,2627,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 3,3,29,waning,14,
2084-03-14,2084,2627,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 4,4,8,waxing,8,
2084-03-21,2084,2627,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 4,4,15,waxing,15,
2084-03-29,2084,2627,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 4,4,23,waning,8,
2084-04-05,2084,2627,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 4,4,30,waning,15,
2084-04-13,2084,2627,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 5,5,8,waxing,8,
2084-04-20,2084,2627,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 5,5,15,waxing,15,
2084-04-28,2084,2627,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 5,5,23,waning,8,
2084-05-04,2084,2627,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 5,5,29,waning,14,
